pt_part,pt_um,pt_prod_line,pt_part_type
100-024,M,EVS,RM
100-032,M,EVS,RM
100-039,M,EVS,RM
100-047,M,EVS,RM
100-076/T1,M,EVS,RM
100-118,m,EVS,RM
102-011-11,EA,EVS,WIP
102-011-11TRN,EA,EVS,WIP
102-011-13,EA,EVS,WIP
102-011-13TRN,EA,EVS,WIP
102-011-15,EA,EVS,WIP
102-011-15TRN,EA,EVS,WIP
102-011-17,EA,EVS,WIP
102-011-17TRN,EA,EVS,WIP
102-011-19,EA,EVS,WIP
102-011-19TRN,EA,EVS,WIP
102-011-21,EA,EVS,WIP
102-011-21TRN,EA,EVS,WIP
102-011-23,EA,EVS,WIP
102-011-23TRN,EA,EVS,WIP
102-011-25,EA,EVS,WIP
102-011-25TRN,EA,EVS,WIP
102-011-26,EA,EVS,WIP
102-011-26TRN,EA,EVS,WIP
102-011-27,EA,EVS,WIP
102-011-27TRN,EA,EVS,WIP
102-011-28,EA,EVS,WIP
102-011-28TRN,EA,EVS,WIP
102-011-29,EA,EVS,WIP
102-011-29TRN,EA,EVS,WIP
102-011-30,EA,EVS,WIP
102-011-30TRN,EA,EVS,WIP
102-011-31,EA,EVS,WIP
102-011-31TRN,EA,EVS,WIP
102-011-32,EA,EVS,WIP
102-011-32TRN,EA,EVS,WIP
102-011-33,EA,EVS,WIP
102-011-33TRN,EA,EVS,WIP
102-011-34,EA,EVS,WIP
102-011-34TRN,EA,EVS,WIP
102-011-43,EA,EVS,WIP
102-011-43TRN,EA,EVS,WIP
102-011-44,EA,EVS,WIP
102-011-44TRN,EA,EVS,WIP
102-011-45,EA,EVS,WIP
102-011-45TRN,EA,EVS,WIP
102-011-46,EA,EVS,WIP
102-011-46TRN,EA,EVS,WIP
102-011-47,EA,EVS,WIP
102-011-47TRN,EA,EVS,WIP
102-011-48,EA,EVS,WIP
102-011-48TRN,EA,EVS,WIP
102-011-49,EA,EVS,WIP
102-011-49TRN,EA,EVS,WIP
102-011-50,EA,EVS,WIP
102-011-50TRN,EA,EVS,WIP
102-011-51,EA,EVS,WIP
102-011-51TRN,EA,EVS,WIP
102-011-52,EA,EVS,WIP
102-011-52TRN,EA,EVS,WIP
102-011-53,EA,EVS,WIP
102-011-53TRN,EA,EVS,WIP
102-011-54,EA,EVS,WIP
102-011-54TRN,EA,EVS,WIP
102-011-55,EA,EVS,WIP
102-011-55TRN,EA,EVS,WIP
102-011-56,EA,EVS,WIP
102-011-56TRN,EA,EVS,WIP
102-011-57,EA,EVS,WIP
102-011-57TRN,EA,EVS,WIP
102-011-58,EA,EVS,WIP
102-011-58TRN,EA,EVS,WIP
102-011-59,EA,EVS,WIP
102-011-59TRN,EA,EVS,WIP
102-011-60,EA,EVS,WIP
102-011-60TRN,EA,EVS,WIP
102-011-61,EA,EVS,WIP
102-011-61TRN,EA,EVS,WIP
102-011-62,EA,EVS,WIP
102-011-62TRN,EA,EVS,WIP
102-011-63,EA,EVS,WIP
102-011-63TRN,EA,EVS,WIP
102-011-64,EA,EVS,WIP
102-011-64TRN,EA,EVS,WIP
102-011-65,EA,EVS,WIP
102-011-65TRN,EA,EVS,WIP
102-011-66,EA,EVS,WIP
102-011-66TRN,EA,EVS,WIP
102-011-67,EA,EVS,WIP
102-011-67TRN,EA,EVS,WIP
102-011-68,EA,EVS,WIP
102-011-68TRN,EA,EVS,WIP
102-011-69,EA,EVS,WIP
102-011-69TRN,EA,EVS,WIP
102-011-70,EA,EVS,WIP
102-011-70TRN,EA,EVS,WIP
102-011-72,EA,EVS,WIP
102-011-72TRN,EA,EVS,WIP
102-011-73,EA,EVS,WIP
102-011-73TRN,EA,EVS,WIP
102-011-74,EA,EVS,WIP
102-011-74TRN,EA,EVS,WIP
102-011-75,EA,EVS,WIP
102-011-75TRN,EA,EVS,WIP
102-011-76,EA,EVS,WIP
102-011-76TRN,EA,EVS,WIP
102-011-77,EA,EVS,WIP
102-011-77TRN,EA,EVS,WIP
102-011-78,EA,EVS,WIP
102-011-78TRN,EA,EVS,WIP
102-012-02,EA,EVS,RM
102-012-03,EA,EVS,RM
102-012-04,EA,EVS,RM
102-012-05,EA,EVS,RM
102-012-06,EA,EVS,RM
102-012-07,EA,EVS,RM
102-012-08,EA,EVS,RM
102-012-09,EA,EVS,RM
102-012-10,EA,EVS,RM
102-012-11,EA,EVS,RM
102-012-12,EA,EVS,RM
102-013-02,EA,EVS,RM
102-013-03,EA,EVS,RM
102-013-04,EA,EVS,RM
