PurchaseOrder,Poln,ItemNumber,DueDate,OrderQty,Status,POOrdCost,ReceiptQty,Supplier,OrderDate,Curr,OpenQty,POOrdAmt
15101712,1,D0LET003C,2015-10-27,90.0,c,16.59444,90.0,S14000,2015-10-27,USD,0.0,1493.4995999999999
15101713,1,D0LAD006C,2015-10-27,100000.0,c,0.321,100000.0,S03000,2015-10-27,USD,0.0,32100.0
15111774,1,D0LAD006C,2015-11-20,170000.0,c,0.321,170000.0,S03000,2015-11-20,USD,0.0,54570.0
15111780,1,D0AASETTER,2015-11-20,70000.0,c,0.0533,70000.0,S13000,2015-11-20,USD,0.0,3731.0
16011919,1,YY25XX9458V,2016-01-19,39.0,,469.23076,0.0,S16000,2016-01-19,USD,39.0,18299.999639999998
16011921,1,RS38X503V,2016-01-19,23.0,c,0.697,23.0,S06000,2016-01-19,USD,0.0,16.031
16011922,1,RG26M1301V,2016-01-19,316000.0,c,0.0214,316000.0,S04000,2016-01-19,USD,0.0,6762.4
16011922,2,RG26M1231V,2016-01-19,24000.0,c,0.0252,24000.0,S04000,2016-01-19,USD,0.0,604.8
16011922,3,RG26M133V-01,2016-01-19,10000.0,c,0.0145,10000.0,S04000,2016-01-19,USD,0.0,145.0
16011922,4,RG26M203V-01,2016-01-19,50000.0,c,0.0134,50000.0,S04000,2016-01-19,USD,0.0,670.0
16011924,1,RS34M6001V-1,2016-01-19,170000.0,c,0.0268,170000.0,S04000,2016-01-19,USD,0.0,4556.0
16011924,2,RS34M20V-01,2016-01-19,26000.0,c,0.036,26000.0,S04000,2016-01-19,USD,0.0,935.9999999999999
16011924,3,RS34M4001V-1,2016-01-19,18000.0,c,0.0273,18000.0,S04000,2016-01-19,USD,0.0,491.40000000000003
16011924,4,RS34M4005V-1,2016-01-19,4000.0,c,0.0402,4000.0,S04000,2016-01-19,USD,0.0,160.8
16011924,5,RS34M5001V-1,2016-01-19,62000.0,c,0.027,62000.0,S04000,2016-01-19,USD,0.0,1674.0
16011924,6,RS34M5005V-1,2016-01-19,11000.0,c,0.0382,11000.0,S04000,2016-01-19,USD,0.0,420.2
16011924,7,RS34M6005V-1,2016-01-19,30000.0,c,0.0368,30000.0,S04000,2016-01-19,USD,0.0,1104.0
16011924,8,RS34M7001V-1,2016-01-19,26000.0,c,0.0274,26000.0,S04000,2016-01-19,USD,0.0,712.4
16011924,9,RS34M7005V-1,2016-01-19,5000.0,c,0.0465,5000.0,S04000,2016-01-19,USD,0.0,232.5
16011924,10,RS34M8001V-1,2016-01-19,10000.0,c,0.029,10000.0,S04000,2016-01-19,USD,0.0,290.0
16011924,11,RS34M8005V-1,2016-01-19,2000.0,c,0.0551,2000.0,S04000,2016-01-19,USD,0.0,110.2
16011927,1,D0LAD006C,2016-01-22,120000.0,c,0.321,120000.0,S03000,2016-01-22,USD,0.0,38520.0
16011930,1,D0METCLO,2016-01-22,600.0,c,2.37,600.0,S11000,2016-01-22,USD,0.0,1422.0
16011932,1,D0ARALPHAPH2,2016-01-22,30000.0,c,0.13405,30000.0,S13000,2016-01-22,USD,0.0,4021.5
16011934,1,RF00X122V,2016-01-22,4419900.0,c,1.561,4419900.0,S19000,2016-01-22,JPY,0.0,6899463.899999999
16021950,1,RS05X501AIV,2016-02-01,57600.0,c,1.013,57600.0,S17000,2016-02-01,USD,0.0,58348.799999999996
16021950,2,RS05X502AIV,2016-02-01,48000.0,c,1.013,48000.0,S17000,2016-02-01,USD,0.0,48623.99999999999
16021965,1,RS36X500V,2016-02-18,1200.0,c,0.3125,1200.0,S05000,2016-02-18,USD,0.0,375.0
16021966,1,RS38X503V,2016-02-18,700.0,c,0.697,700.0,S06000,2016-02-18,USD,0.0,487.9
16021967,1,RG26M1231V,2016-02-18,24000.0,c,0.0252,24000.0,S04000,2016-02-18,USD,0.0,604.8
16021967,2,RG26M1301V,2016-02-18,340000.0,c,0.0214,340000.0,S04000,2016-02-18,USD,0.0,7276.0
16021967,3,RG26M203V-01,2016-02-18,60000.0,c,0.0134,60000.0,S04000,2016-02-18,USD,0.0,804.0
16021968,1,RG26X004V,2016-02-18,14000.0,c,0.051,14000.0,S07000,2016-02-18,USD,0.0,714.0
16021969,1,RS34M20V-01,2016-02-18,28000.0,c,0.036,28000.0,S04000,2016-02-18,USD,0.0,1007.9999999999999
16021969,2,RS34M4001V-1,2016-02-18,20000.0,c,0.0273,20000.0,S04000,2016-02-18,USD,0.0,546.0
16021969,3,RS34M4005V-1,2016-02-18,4000.0,c,0.0402,4000.0,S04000,2016-02-18,USD,0.0,160.8
16021969,4,RS34M5001V-1,2016-02-18,82000.0,c,0.027,82000.0,S04000,2016-02-18,USD,0.0,2214.0
16021969,5,RS34M5005V-1,2016-02-18,20000.0,c,0.0382,20000.0,S04000,2016-02-18,USD,0.0,764.0
16021969,6,RS34M6001V-1,2016-02-18,182000.0,c,0.0268,182000.0,S04000,2016-02-18,USD,0.0,4877.6
16021969,7,RS34M6005V-1,2016-02-18,40000.0,c,0.0368,40000.0,S04000,2016-02-18,USD,0.0,1472.0
16021969,8,RS34M7001V-1,2016-02-18,22000.0,c,0.0274,22000.0,S04000,2016-02-18,USD,0.0,602.8000000000001
16021969,9,RS34M7005V-1,2016-02-18,3000.0,c,0.0465,3000.0,S04000,2016-02-18,USD,0.0,139.5
16021969,10,RS34M8001V-1,2016-02-18,10000.0,c,0.029,10000.0,S04000,2016-02-18,USD,0.0,290.0
16021969,11,RS34M8005V-1,2016-02-18,2000.0,c,0.0551,2000.0,S04000,2016-02-18,USD,0.0,110.2
16021970,1,D0LAD006C,2016-02-19,60000.0,c,0.321,60000.0,S03000,2016-02-19,USD,0.0,19260.0
16021971,1,D0LAC001C,2016-02-19,196000.0,c,0.00715,196000.0,S14000,2016-02-19,USD,0.0,1401.4
16021971,2,D0LTH001H,2016-02-19,255.0,c,11.41333,255.0,S14000,2016-02-19,USD,0.0,2910.39915
16021971,3,D0MEK001J,2016-02-19,17400.0,c,0.00688,17400.0,S14000,2016-02-19,USD,0.0,119.712
16021971,4,D02PROPAL,2016-02-19,112.0,c,8.62142,112.0,S14000,2016-02-19,USD,0.0,965.5990400000001
16021971,5,D0HEXAN,2016-02-19,12.0,c,16.65,12.0,S14000,2016-02-19,USD,0.0,199.79999999999998
16021971,6,D0LTH002H,2016-02-19,15.0,c,11.56666,15.0,S14000,2016-02-19,USD,0.0,173.4999
16021972,1,D0LTH002H,2016-02-19,15.0,c,22.26,15.0,S14000,2016-02-19,USD,0.0,333.90000000000003
16021973,1,D0ARALPHA,2016-02-19,5000.0,c,0.123,5000.0,S13000,2016-02-19,USD,0.0,615.0
16021973,2,D0DF7550,2016-02-19,20.0,c,19.91,20.0,S13000,2016-02-19,USD,0.0,398.2
16021973,3,D0DF0550,2016-02-19,39.0,c,31.85538,39.0,S13000,2016-02-19,USD,0.0,1242.35982
16021974,1,RF00X122V,2016-02-19,2191300.0,c,1.49,2191300.0,S19000,2016-02-19,JPY,0.0,3265037.0
16022185,1,RS34M20V-01,2016-06-15,50000.0,c,0.036,50000.0,S04000,2016-06-15,USD,0.0,1799.9999999999998
16022185,2,RS34M4001V-1,2016-06-15,26000.0,c,0.0273,26000.0,S04000,2016-06-15,USD,0.0,709.8000000000001
16022185,3,RS34M4005V-1,2016-06-15,4000.0,c,0.0402,4000.0,S04000,2016-06-15,USD,0.0,160.8
16022185,4,RS34M5001V-1,2016-06-15,150000.0,c,0.027,150000.0,S04000,2016-06-15,USD,0.0,4050.0
16022185,5,RS34M5005V-1,2016-06-15,30000.0,c,0.0382,30000.0,S04000,2016-06-15,USD,0.0,1146.0
16022185,6,RS34M6001V-1,2016-06-15,320000.0,c,0.0268,320000.0,S04000,2016-06-15,USD,0.0,8576.0
16022185,7,RS34M6005V-1,2016-06-15,60000.0,c,0.0368,60000.0,S04000,2016-06-15,USD,0.0,2208.0
16022185,8,RS34M7001V-1,2016-06-15,30000.0,c,0.0274,30000.0,S04000,2016-06-15,USD,0.0,822.0
16022185,9,RS34M7005V-1,2016-06-15,5000.0,c,0.0465,5000.0,S04000,2016-06-15,USD,0.0,232.5
16022185,10,RS34M8001V-1,2016-06-15,16000.0,c,0.029,16000.0,S04000,2016-06-15,USD,0.0,464.0
16022185,11,RS34M8005V-1,2016-06-15,2000.0,c,0.0551,2000.0,S04000,2016-06-15,USD,0.0,110.2
16032011,1,RS05X501AIV,2016-03-30,48000.0,c,1.013,48000.0,S17000,2016-03-30,USD,0.0,48623.99999999999
16032011,2,RS05X502AIV,2016-03-30,38400.0,c,1.013,38400.0,S17000,2016-03-30,USD,0.0,38899.2
16032011,3,RS05X504AIV,2016-03-30,3261.0,c,1.31,3261.0,S17000,2016-03-30,USD,0.0,4271.91
16032026,1,D0MDX4,2016-03-15,1560.0,c,0.4865,1560.0,S12000,2016-03-15,USD,0.0,758.9399999999999
16032026,2,D0LSI007J,2016-03-15,36.0,c,56.6,36.0,S12000,2016-03-15,USD,0.0,2037.6000000000001
16032027,1,D0LAC001C,2016-03-17,182000.0,c,0.00733,182000.0,S14000,2016-03-17,USD,0.0,1334.06
16032027,2,D0LTH001H,2016-03-17,255.0,c,11.71333,255.0,S14000,2016-03-17,USD,0.0,2986.8991499999997
16032027,3,D0MEK001J,2016-03-17,52200.0,c,0.00705,52200.0,S14000,2016-03-17,USD,0.0,368.01
16032027,4,D02PROPAL,2016-03-17,140.0,c,8.83571,140.0,S14000,2016-03-17,USD,0.0,1236.9994000000002
16032027,5,D0HEXAN,2016-03-17,12.0,c,17.03333,12.0,S14000,2016-03-17,USD,0.0,204.39996
16032027,6,D0LTH002H,2016-03-17,15.0,c,11.56667,15.0,S14000,2016-03-17,USD,0.0,173.50005000000002
16032028,1,D0LAD006C,2016-03-15,60000.0,c,0.321,60000.0,S03000,2016-03-15,USD,0.0,19260.0
16032029,1,D0ARALPHA,2016-03-15,4000.0,c,0.1165,4000.0,S13000,2016-03-15,USD,0.0,466.0
16032042,1,RS34M20V-01,2016-03-15,40000.0,c,0.036,40000.0,S04000,2016-03-15,USD,0.0,1440.0
16032042,2,RS34M4001V-1,2016-03-15,20000.0,c,0.0273,20000.0,S04000,2016-03-15,USD,0.0,546.0
16032042,3,RS34M4005V-1,2016-03-15,4000.0,c,0.0402,4000.0,S04000,2016-03-15,USD,0.0,160.8
16032042,4,RS34M5001V-1,2016-03-15,96000.0,c,0.027,96000.0,S04000,2016-03-15,USD,0.0,2592.0
16032042,5,RS34M5005V-1,2016-03-15,20000.0,c,0.0382,20000.0,S04000,2016-03-15,USD,0.0,764.0
16032042,6,RS34M6001V-1,2016-03-15,250000.0,c,0.0268,250000.0,S04000,2016-03-15,USD,0.0,6700.0
16032042,7,RS34M6005V-1,2016-03-15,46000.0,c,0.0368,46000.0,S04000,2016-03-15,USD,0.0,1692.8
16032042,8,RS34M7001V-1,2016-03-15,22000.0,c,0.0274,22000.0,S04000,2016-03-15,USD,0.0,602.8000000000001
16032042,9,RS34M7005V-1,2016-03-15,3000.0,c,0.0465,3000.0,S04000,2016-03-15,USD,0.0,139.5
16032042,10,RS34M8001V-1,2016-03-15,10000.0,c,0.029,10000.0,S04000,2016-03-15,USD,0.0,290.0
16032042,11,RS34M8005V-1,2016-03-15,2000.0,c,0.0551,2000.0,S04000,2016-03-15,USD,0.0,110.2
